text,authoer,tags
"
      “I'm not upset that you lied to me, I'm upset that from now on I can't believe you.”
  ",,"lies,lying,trust"
"
      “Love is that condition in which the happiness of another person is essential to your own.”
  ",,"essential,happiness,love"
"
      “There is no greater agony than bearing an untold story inside you.”
  ",,"1970,inspirational,stories,writing"
"
      “Anyone who thinks sitting in church can make you a Christian must also think that sitting in a garage can make you a car.”
  ",,"humor,religion"
"
      “I have always imagined that Paradise will be a kind of library.”
  ",,"books,library"
"
      “Everything you can imagine is real.”
  ",,"art,imagination,inspirational,life"
"
      “If you only read the books that everyone else is reading, you can only think what everyone else is thinking.”
  ",,"books,thought"
"
      “Women and cats will do as they please, and men and dogs should relax and get used to the idea.”
  ",,"cats,humor,women"
"
      “We don't see things as they are, we see them as we are.”
  ",,
"
      “Sometimes the questions are complicated and the answers are simple.”
  ",,"attributed-no-source,life"
"
      “You may not be her first, her last, or her only. She loved before she may love again. But if she loves you now, what else matters? She's not perfect—you aren't either, and the two of you may never be perfect together but if she can make you laugh, cause you to think twice, and admit to being human and making mistakes, hold onto her and give her the most you can. She may not be thinking about you every second of the day, but she will give you a part of her that she knows you can break—her heart. So don't hurt her, don't change her, don't analyze and don't expect more than she can give. Smile when she makes you happy, let her know when she makes you mad, and miss her when she's not there.”
  ",,love
"
      “You love me. Real or not real?""",,"katniss,love,peeta,suzanne-collins,the-hunger-games"
"
      “Never trust anyone who has not brought a book with them.”
  ",,"books,reading"
